Branch Name,District,Branch Code
Bole Cargo Branch,EASTERN FINFINE DISTRICT,10490
Conolel Bezabih Petros,HOSSANA DISTRICT,10491
Durame Branch,HOSSANA DISTRICT,10492
Shinshicho Branch,HOSSANA DISTRICT,10493
Areka Branch,HOSSANA DISTRICT,10494
Bonosha Branch,HOSSANA DISTRICT,10495
Bui Branch,HOSSANA DISTRICT,10496
Kela Branch,HOSSANA DISTRICT,10497
Enseno Branch,HOSSANA DISTRICT,10498
Katta Branch,WESTERN FINFINE DISTRICT,10499
Seka Chokorsa Branch,JIMMA DISTRICT,10500
Mustafa Harawe Branch,DIRE DAWA DISTRICT,10501
Bure Ilu Branch,JIMMA DISTRICT,10502
Hurumu Branch,JIMMA DISTRICT,10503
Bonga Branch,JIMMA DISTRICT,10504
Miesso Branch,CHIRO DISTRICT,10505
Ancher Branch,CHIRO DISTRICT,10506
