Branch Name,District,Branch Code
Lega Tafo Branch,NORTH FINFINE DISTRICT,10066
Madaro Branch,NORTH FINFINE DISTRICT,10475
Mujja Branch,NORTH FINFINE DISTRICT,10266
Muka Turi Branch,NORTH FINFINE DISTRICT,10147
Mulo Branch,NORTH FINFINE DISTRICT,10225
Rabadori Branch,NORTH FINFINE DISTRICT,10537
Raso Branch,NORTH FINFINE DISTRICT,10632
Salgan Eggu Branch,NORTH FINFINE DISTRICT,10321
Sendafa Bake Branch,NORTH FINFINE DISTRICT,10032
Shararo Branch,NORTH FINFINE DISTRICT,10238
Shenen Jida Branch,NORTH FINFINE DISTRICT,10179
Sheno Branch,NORTH FINFINE DISTRICT,10092
Shufune Branch,NORTH FINFINE DISTRICT,10302
Sululta Branch,NORTH FINFINE DISTRICT,10023
Tufa Muna Branch,NORTH FINFINE DISTRICT,10355
Tulu Fati Branch,NORTH FINFINE DISTRICT,10687
Wabari Branch,NORTH FINFINE DISTRICT,10540
